section,metric,value
input,scores_path,C:\Users\cedru\Documents\0egyetem\Onlab\ml_visualizer\backend\TimeDRL\embedding_detectors\Exchange_clean_vs_injected_knn.scores.npz
input,labels_path,C:\Users\cedru\Documents\0egyetem\Onlab\ml_visualizer\backend\TimeDRL\eval_sets\Exchange_injected_test_labels.npz
timestamp_level,by_ood_group.near_ood.n_anomaly,1215
timestamp_level,by_ood_group.near_ood.score_mean,2.187239170074463
timestamp_level,by_ood_group.near_ood.score_std,0.8695707321166992
timestamp_level,by_ood_group.near_ood.score_min,0.33856257796287537
timestamp_level,by_ood_group.near_ood.score_max,6.968453407287598
timestamp_level,by_ood_group.near_ood.normal_score_mean,2.187281847000122
timestamp_level,by_ood_group.near_ood.anomaly_score_mean,2.1826698780059814
timestamp_level,by_ood_group.near_ood.auroc,0.4996518184326389
timestamp_level,by_ood_group.near_ood.auprc,0.009732226248752371
timestamp_level,by_ood_group.near_ood.fpr_at_95_tpr,0.9061931412515258
timestamp_level,by_ood_group.near_ood.threshold_metrics.threshold,3.6186697483062744
timestamp_level,by_ood_group.near_ood.threshold_metrics.accuracy,0.917876049653158
timestamp_level,by_ood_group.near_ood.threshold_metrics.precision,0.0077065351418002465
timestamp_level,by_ood_group.near_ood.threshold_metrics.recall,0.06172839506172839
timestamp_level,by_ood_group.near_ood.threshold_metrics.f1,0.013702384214853383
timestamp_level,by_ood_group.near_ood.threshold_metrics.specificity,0.9258619498376287
timestamp_level,by_ood_group.near_ood.threshold_metrics.confusion_matrix.tp,75
timestamp_level,by_ood_group.near_ood.threshold_metrics.confusion_matrix.fp,9657
timestamp_level,by_ood_group.near_ood.threshold_metrics.confusion_matrix.tn,120600
timestamp_level,by_ood_group.near_ood.threshold_metrics.confusion_matrix.fn,1140
timestamp_level,by_ood_group.near_ood.best_f1_threshold_metrics.threshold,4.579112693055035
timestamp_level,by_ood_group.near_ood.best_f1_threshold_metrics.accuracy,0.9776986734818061
timestamp_level,by_ood_group.near_ood.best_f1_threshold_metrics.precision,0.021193530395984383
timestamp_level,by_ood_group.near_ood.best_f1_threshold_metrics.recall,0.031275720164609055
timestamp_level,by_ood_group.near_ood.best_f1_threshold_metrics.f1,0.02526595744680851
timestamp_level,by_ood_group.near_ood.best_f1_threshold_metrics.specificity,0.9865266358046016
timestamp_level,by_ood_group.near_ood.best_f1_threshold_metrics.confusion_matrix.tp,38
timestamp_level,by_ood_group.near_ood.best_f1_threshold_metrics.confusion_matrix.fp,1755
timestamp_level,by_ood_group.near_ood.best_f1_threshold_metrics.confusion_matrix.tn,128502
timestamp_level,by_ood_group.near_ood.best_f1_threshold_metrics.confusion_matrix.fn,1177
timestamp_level,by_ood_group.near_ood.precision_at_10,0.0
timestamp_level,by_ood_group.near_ood.precision_at_50,0.04
timestamp_level,by_ood_group.near_ood.precision_at_100,0.04
